notice-identifier,total-value-eur,total-value-eur-log,bidder-count,bidder-size-numeric,notice_type_cn-standard,notice_type_can-standard,notice_type_can-modif,notice_type_pin-only,notice_type_can-social,notice_type_cn-social,notice_type_veat,notice_type_pin-rtl,notice_type_pin-buyer,notice_type_cn-desg,total-value,cluster,is_outlier,anomaly_score
208886af-a2bf-40b6-a547-45e2a6714b6a,1179392.57,13.980510940608973,1,4.0,0,1,0,0,0,0,0,0,0,0,1179392.57,0,False,2.361020356522838e-05
31aa5b76-64af-47aa-b9a4-02004595bc7c,47983.487700000005,10.77863306474174,1,2.0,0,1,0,0,0,0,0,0,0,0,94085.27,0,False,3.8492864542753946e-05
85b8a5c1-2334-4432-8698-3e49fabd2a6c,41020.5,10.621851598485833,2,3.0,0,1,0,0,0,0,0,0,0,0,178350.0,0,False,2.493012211796434e-05
562b1fa8-1ae6-4a0e-8bae-77e1cbf7af27,4000.5,8.2944245698071,1,,0,1,0,0,0,0,0,0,0,0,4000.5,0,False,0.00015808549371070012
294c9530-a489-4357-9c6b-6982577ce857,0.0,0.0,1,,0,1,0,0,0,0,0,0,0,0,0.0,0,False,0.0
e0306973-e8ea-4120-a805-607f5ee6992d,33465904.58,17.326037734661732,1,,0,1,0,0,0,0,0,0,0,0,33465904.58,0,False,0.00025071906715567777
16707cfc-5249-4f5d-a95e-26c6e5ce384c,199000.0,12.201065128819632,1,,0,0,0,0,1,0,0,0,0,0,199000.0,5,False,0.00045590638611073655
27d34773-d614-43de-be10-2ff396c4a43a,180000.0,12.100717685412471,3,4.0,0,1,0,0,0,0,0,0,0,0,180000.0,0,False,4.027279431129985e-06
4b737027-e8e5-4b7d-95de-71c3486a8a17,28688948.32,17.172022565467504,1,2.5,0,1,0,0,0,0,0,0,0,0,28688948.32,0,False,0.00012116043134924656
1d783969-8412-48f5-9764-74e2f8dbe55c,2973036.0,14.905094547244198,1,,0,1,0,0,0,0,0,0,0,0,2973036.0,0,False,2.5246051762463526e-05
8617ccd6-3880-4aeb-8f8c-e96d1369a39a,6933450.84,15.751868348165058,1,,0,0,0,1,0,0,0,0,0,0,6933450.84,8,False,0.00042774480384865846
d2123e77-8f22-460e-b219-a72edd39da57,166373.9,12.021998954645392,1,4.0,0,1,0,0,0,0,0,0,0,0,166373.9,0,False,6.439383415927012e-06
639b7488-3536-4ed3-885b-4bee93470f91,6101508.6,15.624046773936389,1,,0,1,0,0,0,0,0,0,0,0,6101508.6,0,False,1.7510182355914728e-05
9f6221bb-e774-44cb-8316-5e47ad6c5860,314659.45,12.659249399908436,1,,0,1,0,0,0,0,0,0,0,0,314659.45,0,False,2.7383391668133038e-05
e7b62113-aae5-485a-9a4d-dc4759be983b,11343751.89,16.244177744195206,1,,0,0,0,0,0,0,0,1,0,0,11343751.89,6,False,0.0009580992958707821
5e69050e-11e4-4653-bebe-5ad306a669d1,0.0,0.0,1,,1,0,0,0,0,0,0,0,0,0,0.0,4,False,0.0
83bfe585-fb5a-4c63-b240-ba2ad55c4e9d,135392.4,11.815939893811406,1,,1,0,0,0,0,0,0,0,0,0,3471600.0,1,False,3.800872431815388e-05
97dafe59-ac95-4b5b-90ae-fefad0a16cd4,1808000.0,14.40773237303145,1,,1,0,0,0,0,0,0,0,0,0,1808000.0,1,False,1.8639406809465545e-05
27e85058-a9d2-4573-b900-741cdd634cd7,434999.99999999994,12.983103608918752,1,,1,0,0,0,0,0,0,0,0,0,5000000.0,1,False,0.0
8edc1699-88c9-4e0d-a783-9227bc9a73af,62596.3749,11.04447862170412,1,2.5,0,1,0,0,0,0,0,0,0,0,122737.99,0,False,1.2278279338588949e-05
ab47cd3a-f04a-4de9-9112-7cbdf2550513,1500000.0,14.220976332738882,1,,0,0,0,0,0,1,0,0,0,0,1500000.0,7,False,0.00020967508109380082
9f72edcb-b9e0-4ae5-9202-621cccaa98de,260092.0,12.468794538348714,1,2.5,0,1,0,0,0,0,0,0,0,0,260092.0,0,False,2.403441616926009e-06
8447e3c1-a308-4e7f-9e47-9a8ee3a61b0d,300000.0,12.611541086966117,1,,1,0,0,0,0,0,0,0,0,0,300000.0,1,False,0.0
f3990e0c-22fe-499e-b608-7d02dcdd4fff,102125.34,11.533965953251252,1,,0,1,0,0,0,0,0,0,0,0,102125.34,0,False,1.4950624044755396e-05
82f4fa04-2b39-4c51-8e70-b5543d100c3f,768162.5,13.551757880096815,1,,1,0,0,0,0,0,0,0,0,0,768162.5,1,False,1.8774735328298092e-05
2eaa6aa8-9c85-4cef-8305-827970db94a9,136305000.0,18.73040558711618,1,,1,0,0,0,0,0,0,0,0,0,3495000000.0,-1,True,1.0
3ecf321a-a487-4be1-94ff-1a3011dae540,9288300.23,16.044266234004496,1,,0,1,0,0,0,0,0,0,0,0,9288300.23,0,False,6.880451450814651e-05
