notice-identifier,total-value-eur,total-value-eur-log,bidder-count,bidder-size-numeric,notice_type_cn-standard,notice_type_can-standard,notice_type_can-modif,notice_type_pin-only,notice_type_can-social,notice_type_cn-social,notice_type_veat,notice_type_pin-rtl,notice_type_pin-buyer,notice_type_cn-desg,total-value,cluster,is_outlier,distance,anomaly_score
471e5c38-6e1c-4de8-9ceb-6739cfc50b66,195000.0,12.180759965737863,1,2.5,0,1,0,0,0,0,0,0,0,0,5000000.0,1,False,0.08796493737218716,0.02727312569605738
85d81d53-8e4f-4bc8-8460-a7a7d23b8a31,10000000.0,16.118095750958314,1,,1,0,0,0,0,0,0,0,0,0,10000000.0,2,False,0.022931138458291776,0.007109694387441557
0d091230-355f-4264-8726-438ed881112f,12172714.01,16.314707530468947,1,4.0,0,1,0,0,0,0,0,0,0,0,12172714.01,1,False,0.08796493737218716,0.02727312569605738
b864ed4e-47b7-4499-a1f1-96922672af0c,59290.0,10.990212802809811,1,1.0,0,1,0,0,0,0,0,0,0,0,59290.0,1,False,0.08796493737218716,0.02727312569605738
46fdb78b-5e1e-4b69-b465-1d9b3a7794f9,0.0,0.0,1,,1,0,0,0,0,0,0,0,0,0,0.0,2,False,0.022931138458291776,0.007109694387441557
be0fe899-1e3a-416b-8c0f-1c772efc7d34,196282.0,12.187312774374789,3,3.0,0,1,0,0,0,0,0,0,0,0,853400.0,1,False,0.08796493737218716,0.02727312569605738
577fce27-dff4-45c7-a869-c5ed4e584959,1185699.35,13.985844170630395,1,2.5,0,1,0,0,0,0,0,0,0,0,1185699.35,1,False,0.08796493737218716,0.02727312569605738
3cdb07d6-8cb4-485e-933d-dd0bf4485d77,149526.0,11.915232257512988,1,,1,0,0,0,0,0,0,0,0,0,3834000.0,2,False,0.022931138458291776,0.007109694387441557
5ec12753-0814-4aad-9151-1e11bb57f2f2,13949181.0,16.450931426519542,1,,1,0,0,0,0,0,0,0,0,0,13949181.0,2,False,0.022931138458291776,0.007109694387441557
87a054b6-5f8e-4d4d-b03a-0803e55e0ffb,900000.0,13.71015115341694,1,,0,1,0,0,0,0,0,0,0,0,900000.0,1,False,0.08796493737218716,0.02727312569605738
