notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_veat,notice_is_pin-only,notice_is_cn-social,notice_is_can-modif,notice_is_pin-cfc-standard,notice_is_cn-desg,notice_is_can-social,notice_is_pin-buyer,total-value
96f0467d-347c-4b25-b9d7-f6fac1a00c58,1352552.38,1352552.38,14.11750475657644,0,,1,0,0,0,0,0,0,0,0,0,1352552.38
11622be8-6414-447e-855f-d4f4fe975eef,78800000.0,41537332.48450003,18.182423567518462,0,,1,0,0,0,0,0,0,0,0,0,78800000.0
27bd84b9-3c46-4115-b187-50e5f13dcc51,125036350.0,41537332.48450003,18.644115060990124,0,,1,0,0,0,0,0,0,0,0,0,125036350.0
dba653b7-08bb-4235-986d-7d6faf7eb010,32700000.0,32700000.0,17.30288566644852,0,,1,0,0,0,0,0,0,0,0,0,32700000.0
e0744e49-8dfa-4d91-919e-90ccad7a93fd,30804.678300000003,30804.678300000003,10.335454312358989,1,2.5,0,1,0,0,0,0,0,0,0,0,60401.33
b7016505-e5bd-452e-86ae-468a808b47d2,24891.0807,24891.0807,10.122304987689317,0,,1,0,0,0,0,0,0,0,0,0,108222.09
2988665d-a064-4b2f-ba72-de9dc0371d3a,1227372.48,1227372.48,14.020387062055507,0,,1,0,0,0,0,0,0,0,0,0,1227372.48
cc4ce729-7e1a-4b20-84d3-ee5dbcfb514c,18500000.0,18500000.0,16.733281344102608,0,,1,0,0,0,0,0,0,0,0,0,18500000.0
2b2484ac-6eb3-4017-9d8b-c7b30170bdb2,41444560.510000005,41444560.510000005,17.53986722490595,0,,1,0,0,0,0,0,0,0,0,0,207222802.55
5a6b2b6a-b8ec-4a1c-b036-2ef2cb08e349,923501.0,923501.0,13.735928244293152,7,2.5,0,1,0,0,0,0,0,0,0,0,923501.0
c2bc7f94-26f6-4c55-90ff-b4d86154363e,10925.0,10925.0,9.298900548955663,1,4.0,0,0,1,0,0,0,0,0,0,0,10925.0
aeab5d9a-8551-4836-be4d-25e2313e1a12,49200000.0,41537332.48450003,17.71140420178774,12,2.5,0,1,0,0,0,0,0,0,0,0,49200000.0
f74fa82b-2eaa-4383-ba2c-49e21c88dba0,0.0,0.0,0.0,0,,1,0,0,0,0,0,0,0,0,0,0.0
000eecc1-1235-46dc-8341-49247346f970,830000.0,830000.0,13.629182184591333,0,,1,0,0,0,0,0,0,0,0,0,830000.0
d662d9ab-0784-4c1e-8811-25de57161767,17038789.46,17038789.46,16.65100309445171,0,,0,0,0,0,0,1,0,0,0,0,17038789.46
3315f88d-cc65-4270-9c79-55475f1fae93,2220380.0,2220380.0,14.613189360744778,0,,1,0,0,0,0,0,0,0,0,0,2220380.0
61ea5358-3326-43fc-9971-3d0254a0f86d,4550000.0,4550000.0,15.330638010707329,0,,1,0,0,0,0,0,0,0,0,0,4550000.0
96522aa2-8b14-4b8e-b5ee-177a859f2a21,119340.0,119340.0,11.68974022046111,1,2.5,0,1,0,0,0,0,0,0,0,0,234000.0
c2eb82ea-ce3b-4f85-945d-6bbc50864f1e,18000000.0,18000000.0,16.705882371415992,0,,1,0,0,0,0,0,0,0,0,0,18000000.0
5b25e96f-9e1b-4a0f-b7d8-e7b8253dd023,2400000.0,2400000.0,14.690979711984754,1,4.0,0,1,0,0,0,0,0,0,0,0,2400000.0
149ade68-56f7-47c4-a608-e81b0f3e3a7c,1200000.0,1200000.0,13.997832948091215,0,,1,0,0,0,0,0,0,0,0,0,1200000.0
4b8be644-6fbe-4dd8-8bd1-b198ccc3b45c,3668270.0,3668270.0,15.11523099185398,0,,0,1,0,0,0,0,0,0,0,0,15949000.0
5ce810ad-7133-470a-9333-9e7b827c10e4,2400000.0,2400000.0,14.690979711984754,0,,1,0,0,0,0,0,0,0,0,0,2400000.0
556f4054-1181-47e0-9790-d02e42c10603,700000.0,700000.0,13.45883704259595,0,,1,0,0,0,0,0,0,0,0,0,700000.0
63465fab-57d3-456f-8f72-45982dfeb5c5,2000000.0,2000000.0,14.508658238524095,0,,1,0,0,0,0,0,0,0,0,0,2000000.0
3caf5c56-65dc-4b78-b2b9-607267b26355,3808000.0,3808000.0,15.1526149374984,0,,1,0,0,0,0,0,0,0,0,0,3808000.0
543cabb6-6222-415b-b433-f1c6c0c909aa,5000000.0,5000000.0,15.424948670398354,0,,1,0,0,0,0,0,0,0,0,0,5000000.0
c0a6f08f-6d3f-41af-b4cb-a27686fd7016,5800000.0,5800000.0,15.573368647930426,0,,1,0,0,0,0,0,0,0,0,0,5800000.0
c7a569a2-ff22-43b3-a865-4f69a695f9d8,9941484.31,9941484.31,16.112226995034963,1,3.0,0,1,0,0,0,0,0,0,0,0,9941484.31
3f5a52ad-1db9-46b6-8c09-380b8bfbc445,50253.59079,50253.59079,10.824857180753318,7,4.0,0,1,0,0,0,0,0,0,0,0,1288553.61
51236c41-aa69-4b97-bd25-04d1557c0aeb,1600000.0,1600000.0,14.285514812209815,0,,1,0,0,0,0,0,0,0,0,0,1600000.0
3aa3ee2c-78b8-4f41-b2f2-e11b7557badb,106307592.0,41537332.48450003,18.481847270676514,1,4.0,0,1,0,0,0,0,0,0,0,0,106307592.0
76bfdfaa-fb19-43ec-b62a-733e8264c61a,626800.84,626800.84,13.348385725005322,0,,1,0,0,0,0,0,0,0,0,0,626800.84
9ef43082-97f7-45c9-8a74-e60eaf981f02,3700000.0,3700000.0,15.123843647884687,0,,1,0,0,0,0,0,0,0,0,0,3700000.0
c3af8020-9b88-4ef2-bcc2-be950811b655,1739999.9999999998,1739999.9999999998,14.36939624590319,0,,1,0,0,0,0,0,0,0,0,0,20000000.0
407b8e12-5b02-467a-b765-0c6b92f08470,1047441.0,1047441.0,13.861861559317058,3,4.0,0,1,0,0,0,0,0,0,0,0,1047441.0
08caec75-b48c-4c45-a138-7612072ab1e6,777392.66,777392.66,13.563702141977243,0,,0,1,0,0,0,0,0,0,0,0,777392.66
472041c1-93e8-4e71-ab0b-6778fc2ac061,1.0,1.0,0.6931471805599453,1,2.5,0,0,1,0,0,0,0,0,0,0,1.0
ae4f3533-60a0-4d8d-ac85-46b4b9357d5b,360000000.0,41537332.48450003,19.701614592192207,0,,1,0,0,0,0,0,0,0,0,0,360000000.0
01388cde-4de8-4f89-8d8a-e31642743833,1.0,1.0,0.6931471805599453,0,,1,0,0,0,0,0,0,0,0,0,1.0
9f026b94-80ed-4e81-8c3d-8576f4551887,1000000.0,1000000.0,13.815511557963774,0,,1,0,0,0,0,0,0,0,0,0,1000000.0
425883ef-827c-470e-8e79-5fedd99a868e,27427000.0,27427000.0,17.12703852408927,0,,0,1,0,0,0,0,0,0,0,0,27427000.0
267331bf-5179-4cf3-a2f8-bcedb1354e47,613785.0,613785.0,13.327401612175164,0,,0,1,0,0,0,0,0,0,0,0,7055000.0
b6a50ca7-ccdf-4287-973d-569edba0514f,584082.27,584082.27,13.27779883726244,0,,0,1,0,0,0,0,0,0,0,0,584082.27
ed566d66-196c-43ed-9959-25cfafa5eae6,420000.0,420000.0,12.948012371209098,0,,1,0,0,0,0,0,0,0,0,0,420000.0
eb91ae45-9b1e-4e8f-998f-66ed70002a0d,0.039,0.039,0.03825871211709034,0,,1,0,0,0,0,0,0,0,0,0,1.0
955c4b7b-d88a-4e85-a719-6786d4dc7972,699840.0,699840.0,13.458608445367553,0,,0,1,0,0,0,0,0,0,0,0,699840.0
a0603474-969a-4f3e-bf46-b1bfaca512f3,509156.62,509156.62,13.140512913607823,3,4.0,0,1,0,0,0,0,0,0,0,0,509156.62
3d568498-97c0-4605-aa55-81826c8c4452,0.0,0.0,0.0,0,,1,0,0,0,0,0,0,0,0,0,0.0
749cec4b-d1f7-4d79-b10b-5be9a3c94711,536500.0,536500.0,13.192823704984052,0,,1,0,0,0,0,0,0,0,0,0,536500.0
8b21608d-3349-410d-9974-67effc7837a2,2000000.0,2000000.0,14.508658238524095,0,,0,1,0,0,0,0,0,0,0,0,2000000.0
5b0deb0e-1ba8-40d4-a837-34ce6cebb027,750000.0,750000.0,13.527829818844937,0,,0,0,0,0,0,0,1,0,0,0,750000.0
af8a048c-c173-4e7a-8fca-a6a64351ad66,479232.0,479232.0,13.079942188186932,0,,0,1,0,0,0,0,0,0,0,0,479232.0
586983e4-889c-42bd-85fc-62c1994a64ad,185836.16,185836.16,12.132626085364542,1,4.0,0,1,0,0,0,0,0,0,0,0,185836.16
afdb643d-93d4-4225-98b6-fb8fe79e4882,1099485.04,1099485.04,13.91035339221604,0,,1,0,0,0,0,0,0,0,0,0,1099485.04
08959be0-9388-4109-9da0-b971bc71707c,40000.0,40000.0,10.596659732783579,1,2.0,0,1,0,0,0,0,0,0,0,0,40000.0
2821a20b-eb91-4127-a6cf-22f2ae097bd6,900000.0,900000.0,13.710151153416941,0,,1,0,0,0,0,0,0,0,0,0,900000.0
f49dbdf4-a8c5-4019-80c7-784da7a892e2,546332.5,546332.5,13.210984874121873,0,,0,1,0,0,0,0,0,0,0,0,546332.5
3be84437-fb75-4bb6-a48d-ffd01d3fb55e,21400618.1,21400618.1,16.87893040948016,1,4.0,0,1,0,0,0,0,0,0,0,0,21400618.1
cb27ff7e-adab-4e59-9170-a4bdb4c06a32,6236886.0,6236886.0,15.645991737659347,3,3.0,0,1,0,0,0,0,0,0,0,0,6236886.0
7d4fd4f7-8b1d-4d0e-9694-511136142f62,20000000.0,20000000.0,16.811242881518265,0,,0,1,0,0,0,0,0,0,0,0,20000000.0
3bd5dcee-3dfe-45c6-844a-5500747efaa5,608000.0,608000.0,13.317931805683793,0,,1,0,0,0,0,0,0,0,0,0,608000.0
f6eb006f-21b9-43da-81f1-79fcbd8725ac,800000.0,800000.0,13.592368256649284,0,,1,0,0,0,0,0,0,0,0,0,800000.0
33e10f3a-c367-40b1-a4d6-89d75021eaa1,10463139.0,10463139.0,16.163369162757274,0,,1,0,0,0,0,0,0,0,0,0,10463139.0
a95d665e-157c-49aa-b83d-07bb9c8feef0,4166666.67,4166666.67,15.24262715440439,0,,0,1,0,0,0,0,0,0,0,0,4166666.67
15e865a4-d4f5-451d-a383-684f0edb1b31,2655625.0,2655625.0,14.792190966410333,2,4.0,0,1,0,0,0,0,0,0,0,0,2655625.0
9de98389-4fb4-4364-b913-72df86b49619,1954484.82,1954484.82,14.485637709136386,0,,1,0,0,0,0,0,0,0,0,0,1954484.82
0ffc046b-f523-4ded-9951-23e5fd7c4b08,2774714.82,2774714.82,14.836058892711488,0,,1,0,0,0,0,0,0,0,0,0,2774714.82
3ca116fb-943a-4182-9944-4a81e369c5b6,12735.36,12735.36,9.452216174016337,2,2.0,0,1,0,0,0,0,0,0,0,0,12735.36
5863b760-9336-4465-b1a2-a943041e920e,194525.8677,194525.8677,12.178325569775627,0,,0,1,0,0,0,0,0,0,0,0,381423.27
