notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_can-standard,notice_is_cn-standard,notice_is_can-modif,notice_is_pin-only,notice_is_cn-social,notice_is_pin-rtl,notice_is_veat,notice_is_can-social,notice_is_can-desg,notice_is_cn-desg,total-value
a6ea6572-1999-4138-8cdd-cabca405a490,1823.76,1823.76,7.509203750519493,2,2.5,1,0,0,0,0,0,0,0,0,0,3576.0
4c3ee969-11cd-4190-b52f-f5f66daaf532,451401.66,451401.66,13.020115036126233,1,2.0,1,0,0,0,0,0,0,0,0,0,451401.66
5aa0fc41-2977-434e-91c4-c29d6632f58a,1245945.0,1245945.0,14.0354056387066,7,2.0,1,0,0,0,0,0,0,0,0,0,1245945.0
d649593b-06d7-46bb-bf49-a4a5d2eabed7,263657.0,263657.0,12.482408087756376,0,,1,0,0,0,0,0,0,0,0,0,263657.0
ad34b379-701d-45ff-939f-6baf4945606b,230100.0,230100.0,12.346273621950562,1,4.0,1,0,0,0,0,0,0,0,0,0,230100.0
ef15e780-5981-4cce-92c0-6705b7e0c1ea,595000.0,595000.0,13.296318365198623,0,,0,1,0,0,0,0,0,0,0,0,595000.0
ded829cb-26b4-49a3-86e3-cb3f14cf8e7b,155996.334,155996.334,11.957594196342052,1,2.5,1,0,0,0,0,0,0,0,0,0,3999906.0
34288f7b-727f-4acc-8787-47e5edc0767d,4883.47,4883.47,8.49381606319677,1,2.5,1,0,0,0,0,0,0,0,0,0,4883.47
b52740e0-472c-40c6-b21f-285bddf74798,15000.0,15000.0,9.61587214452889,0,,0,0,0,0,0,0,0,0,0,1,15000.0
df71e689-9d03-4a51-a60c-0a9d717f345f,34885.15056,34885.15056,10.459845197340137,1,2.5,1,0,0,0,0,0,0,0,0,0,894491.04
917ffc67-d465-45db-811f-d7d3761e92ca,380717.26,380717.26,12.849814905496673,1,4.0,1,0,0,0,0,0,0,0,0,0,380717.26
7baa66b1-e29d-4ecf-a33d-b688b9336d8d,191400.0,191400.0,12.162125982647739,0,,1,0,0,0,0,0,0,0,0,0,2200000.0
4186bb5d-7952-4a0d-a922-a1f222e35f58,4148087.6,4148087.6,15.238158207794857,4,2.0,1,0,0,0,0,0,0,0,0,0,4148087.6
a1bcc51d-8387-4b77-adda-531ddeeac0c2,254242.54280000002,254242.54280000002,12.446047916538149,0,,0,1,0,0,0,0,0,0,0,0,1105402.36
5e46b380-2c3f-4c32-95fa-ed8fd19a3975,25950312.1,24421000.0,17.071694233013982,0,,0,1,0,0,0,0,0,0,0,0,25950312.1
2c23cdce-0263-4d14-a464-3b267e95f52b,351000.0,351000.0,12.768544351446794,0,,0,1,0,0,0,0,0,0,0,0,9000000.0
9aeb0f55-21b8-4185-9ffd-19bc4e2e2321,330000.0,330000.0,12.706850963741102,0,,0,1,0,0,0,0,0,0,0,0,330000.0
cb669a9f-dc73-4d81-8600-a967b21a3b63,464016.84,464016.84,13.047678278745138,1,4.0,1,0,0,0,0,0,0,0,0,0,464016.84
e8ae1c2e-88e1-43ee-8cc4-7a66f44f3aa6,1168000.0,1168000.0,13.970804298534327,0,,1,0,0,0,0,0,0,0,0,0,1168000.0
101fad9f-13c7-4a9c-80bb-a43963179302,548725.45,548725.45,13.215355326733073,1,4.0,1,0,0,0,0,0,0,0,0,0,548725.45
603bdc11-413e-472d-9c36-321e79bc74f0,353305.79,353305.79,12.775092051956785,1,4.0,1,0,0,0,0,0,0,0,0,0,353305.79
a9190986-4c12-454f-9923-0b6af3297055,632104.902,632104.902,13.356812225547,0,,0,1,0,0,0,0,0,0,0,0,16207818.0
