notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_can-standard,notice_is_cn-standard,notice_is_can-modif,notice_is_pin-cfc-standard,notice_is_can-social,notice_is_pin-cfc-social,notice_is_cn-desg,notice_is_cn-social,notice_is_pin-only,total-value
5155af10-22aa-45ff-b05f-98e006369886,389608.0,389608.0,12.87289895109972,1,2.0,0,0,0,0,1,0,0,0,0,389608.0
399ae52c-aaae-4099-8d50-3b5a5b84a738,247607.08,247607.08,12.419602452539607,0,,0,1,0,0,0,0,0,0,0,247607.08
fadfed97-d12f-4d1a-92b0-962373201c9c,1799115.04,1799115.04,14.402806013353864,1,2.5,1,0,0,0,0,0,0,0,0,1799115.04
4955265e-dc09-417e-8b8c-ce325a28c2d2,199333.8,199333.8,12.202741102097121,1,1.0,1,0,0,0,0,0,0,0,0,199333.8
cd8cf4a7-888a-4ff7-82ae-75426a4ba64a,556480.55,556480.55,13.229389295509328,0,,0,1,0,0,0,0,0,0,0,556480.55
406cb9cf-8093-4df5-80ec-6eb37e793562,494831.1,494831.1,13.111973792093044,1,1.0,1,0,0,0,0,0,0,0,0,494831.1
8f1a477d-65fa-440d-8ecb-213a7db295bb,61145.0,61145.0,11.021019726056748,0,,0,1,0,0,0,0,0,0,0,61145.0
0dd63544-cfb8-4568-8385-d5d336460194,327220.31,327220.31,12.698392009951828,0,,0,1,0,0,0,0,0,0,0,327220.31
bc8a2696-bb18-4cd1-923d-60f33da1bc22,142477876.11,9312578.711999994,18.774697297269828,0,,0,1,0,0,0,0,0,0,0,142477876.11
f3a4520f-a464-444c-ab7f-a49da6fc9d08,700000.0,700000.0,13.45883704259595,0,,0,1,0,0,0,0,0,0,0,700000.0
8f85ec8d-1ce6-4828-86a1-df95a19365b0,459000.0,459000.0,13.036807667689546,0,,0,1,0,0,0,0,0,0,0,459000.0
0e384643-abed-492b-810a-9192f48caf79,1371960.8,1371960.8,14.13175224431476,1,3.0,1,0,0,0,0,0,0,0,0,1371960.8
e2233d47-6f23-44f8-b837-592f120e900e,167541.5,167541.5,12.028992329406188,0,,0,1,0,0,0,0,0,0,0,167541.5
35b4952a-3f6d-4747-b64c-4f75e6e9487d,17800000.0,9312578.711999994,16.694709071442087,0,,0,1,0,0,0,0,0,0,0,17800000.0
03409b27-2d4d-4adb-8df8-d05dcc1db479,290000.0,290000.0,12.577639650232573,0,,0,1,0,0,0,0,0,0,0,290000.0
7f38f43d-8a14-4d17-a158-a6ba81e5c787,73373.28,73373.28,11.20332874447578,1,2.5,1,0,0,0,0,0,0,0,0,73373.28
47c75782-3152-4ace-8caf-8d64caa10b5d,145739.19,145739.19,11.889580794914929,1,1.0,1,0,0,0,0,0,0,0,0,145739.19
5d8951c8-1737-4ed1-b627-120655238cdf,1691425.76,1691425.76,14.3410829674183,2,2.5,1,0,0,0,0,0,0,0,0,1691425.76
dfbf7ece-b958-4bf3-b8f5-cf7cf3f1a7f4,110917400.0,9312578.711999994,18.524296347135493,0,,0,1,0,0,0,0,0,0,0,110917400.0
44e45551-f5bc-40c5-b20a-9d78e31fc252,415807.19,415807.19,12.937979351181763,4,2.5,1,0,0,0,0,0,0,0,0,415807.19
a64f4b27-87d9-48cf-8f5a-b0206a03c3bf,1200000.0,1200000.0,13.997832948091215,0,,0,0,1,0,0,0,0,0,0,1200000.0
0cd423cb-acd1-4813-801a-61f7a2e2e485,156350.0,156350.0,11.959858758772153,1,2.5,1,0,0,0,0,0,0,0,0,156350.0
67bc07bf-b2c8-49a1-8545-669d43e1b42e,382650.0,382650.0,12.854878625588892,0,,0,1,0,0,0,0,0,0,0,382650.0
ad8efc7a-41c6-4f62-a9d5-65655e14ed9d,858371.99,858371.99,13.662794004286335,0,,0,1,0,0,0,0,0,0,0,858371.99
880c0fa9-367b-46fb-87dc-85ce01c6a567,85674.04,85674.04,11.358316813623354,1,2.0,1,0,0,0,0,0,0,0,0,85674.04
c61bc47f-6ec3-41cd-ab10-036c22105c25,162432.9,162432.9,11.998026428768116,1,1.0,1,0,0,0,0,0,0,0,0,162432.9
1f596f41-50cb-4fa3-b9e0-9e6f20a67601,227760.0,227760.0,12.336052112528863,2,3.0,1,0,0,0,0,0,0,0,0,227760.0
b11da9ff-e209-4bb9-867a-987f69acab65,2268304.92,2268304.92,14.63454382009512,0,,1,0,0,0,0,0,0,0,0,2268304.92
0733245c-7e10-4bf9-b5b2-c22b0664cb6d,248500.0,248500.0,12.423202148655593,0,,0,1,0,0,0,0,0,0,0,248500.0
1e1b0657-4b86-4f03-9072-f6e8987353b3,7813015.18,7813015.18,15.871301641884198,1,3.0,1,0,0,0,0,0,0,0,0,7813015.18
01d28a76-018d-440f-9778-14d493bcf716,299655.8,299655.8,12.610393098770844,0,,0,1,0,0,0,0,0,0,0,299655.8
6e15ddad-933d-4667-9de2-e7d9d0e24a22,1129027.75,1129027.75,13.936868307820857,0,,0,1,0,0,0,0,0,0,0,1129027.75
acced0c2-b561-4c02-8838-35861a60fbd8,1642171.0,1642171.0,14.311530313813087,1,2.5,1,0,0,0,0,0,0,0,0,1642171.0
e09e426a-57bc-4187-9e6d-ce1089548325,258363.47,258363.47,12.462126541436593,0,,0,1,0,0,0,0,0,0,0,258363.47
5b8e938d-371a-442d-bb46-75729a38ef15,312230.63,312230.63,12.651500595192358,0,,0,1,0,0,0,0,0,0,0,312230.63
ed44e190-4753-4c30-bd93-cc7566825885,781532.26,781532.26,13.569012987119114,0,,0,1,0,0,0,0,0,0,0,781532.26
fa505a0c-21bf-4527-a105-abf4c0dbb1de,797701.47,797701.47,13.589490962296583,50,2.0,1,0,0,0,0,0,0,0,0,797701.47
