notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_can-modif,notice_is_can-social,notice_is_pin-only,notice_is_cn-social,notice_is_veat,notice_is_can-desg,notice_is_qu-sy,total-value
863c21c3-e2e2-47f4-bd58-6caf855d86d5,107356.38,107356.38,11.583918548032916,0,,0,1,0,0,0,0,0,0,0,107356.38
9733348d-b8ba-4b0b-81d8-9086b062cb29,18974.55,18974.55,9.850906587351005,1,2.0,0,1,0,0,0,0,0,0,0,18974.55
a6914ddf-ec5b-4667-8690-cff94940990e,319184.0,319184.0,12.673526150972407,3,1.0,0,1,0,0,0,0,0,0,0,319184.0
8e9eb3d9-6c6a-410d-9452-52016c615fa5,334212.73,334212.73,12.719535977483261,1,3.0,0,1,0,0,0,0,0,0,0,334212.73
dc2d8118-7941-475e-bf32-4b9bcc0b1d13,897884.92,897884.92,13.707798301352428,0,,1,0,0,0,0,0,0,0,0,897884.92
c9bcb8cf-8d95-4cc9-ab52-5218ea825849,523994.58,523994.58,13.1692385281531,1,3.0,0,1,0,0,0,0,0,0,0,523994.58
6d94e8b9-69b2-4f41-8c51-057119fc3040,174800.0,174800.0,12.071403463011007,0,,1,0,0,0,0,0,0,0,0,174800.0
cf8c0ecc-5d36-4d75-89a7-92c480f3ccd6,0.0,0.0,0.0,1,4.0,0,1,0,0,0,0,0,0,0,0.0
0195a87c-6c00-44e6-89ef-f783cc1a4c8c,4538260.77,4538260.77,15.328054626660029,1,4.0,0,1,0,0,0,0,0,0,0,4538260.77
de5bc06e-6e39-4a48-939f-9172011f1f96,4962594.78,4792500.0,15.417439504546993,5,4.0,0,1,0,0,0,0,0,0,0,4962594.78
7e34b954-b4d5-4bd8-8aa3-389000f46b63,240653.0,240653.0,12.391115496242817,1,2.0,0,1,0,0,0,0,0,0,0,240653.0
71f1898c-b127-4d09-808f-dfcbd6f25f2d,76026.04,76026.04,11.238844345464086,0,,0,1,0,0,0,0,0,0,0,76026.04
4010d52d-729c-4155-9aa0-9a8a4e3f8013,974726.78,974726.78,13.789913510996408,1,3.0,0,1,0,0,0,0,0,0,0,974726.78
9692aa4f-ab9c-40ec-8534-399e25433584,69470.47,69470.47,11.148671443676093,0,,0,1,0,0,0,0,0,0,0,69470.47
fbcdc0ab-9858-4eeb-93ce-3e18ac18b1b1,3653363.15,3653363.15,15.111158985999436,0,,0,0,1,0,0,0,0,0,0,3653363.15
cc71432b-fab2-4c97-9b20-97ef354d7012,495549.0,495549.0,13.113423535834855,1,4.0,0,1,0,0,0,0,0,0,0,495549.0
adf5c3fb-fe23-4e30-83dc-dab647615957,23822.0,23822.0,10.07840677956332,1,3.0,0,1,0,0,0,0,0,0,0,23822.0
ad65e2c1-8931-47f7-95f3-5c2635eef589,158851.17,158851.17,11.975729300290539,1,1.0,0,1,0,0,0,0,0,0,0,158851.17
c6fa7dd0-2d2b-4fed-9585-0ddc25e6d6a2,209624.75,209624.75,12.253079076936642,0,,1,0,0,0,0,0,0,0,0,209624.75
44618c23-bd6c-4337-ab1b-810eafb36f43,13000000.0,4792500.0,16.380459992348886,0,,1,0,0,0,0,0,0,0,0,13000000.0
357f3360-fe78-4205-b026-1f877290e239,1.0,1.0,0.6931471805599453,3,3.0,0,1,0,0,0,0,0,0,0,1.0
65b86434-5af4-4527-a746-3116a67ee61a,85000.0,85000.0,11.350418300109132,0,,1,0,0,0,0,0,0,0,0,85000.0
349a2a3e-91f4-4e66-85fa-8ea2680c5aa0,1835659.0,1835659.0,14.422914647828494,1,2.0,0,1,0,0,0,0,0,0,0,1835659.0
3db93a47-af2c-4e9b-b39f-a6303c720a32,0.1,0.1,0.09531017980432487,1,3.0,0,1,0,0,0,0,0,0,0,0.1
b07682d6-684b-4c9a-a9f0-bf9bb485ff74,20615.63,20615.63,9.93385331065458,0,,0,1,0,0,0,0,0,0,0,20615.63
b54e9e87-dc6a-4263-82cc-d41683ac6ee4,99423.26,99423.26,11.507151427252117,1,2.0,0,1,0,0,0,0,0,0,0,99423.26
275942e3-6f7b-43df-ab64-3c663faa24a9,2500000.0,2500000.0,14.731801689838349,0,,1,0,0,0,0,0,0,0,0,2500000.0
9af55edd-531b-4ea7-8af5-f36b5ec97ee5,562838.94,562838.94,13.240750568299955,0,,0,1,0,0,0,0,0,0,0,562838.94
44f3695c-5453-4983-adbf-d1a6fff428d8,488.11,488.11,6.192587413052923,1,3.0,0,1,0,0,0,0,0,0,0,488.11
4b6e5cf5-9ae4-4a6b-8abd-70d34647bd92,1500000.0,1500000.0,14.220976332738882,0,,0,0,0,0,1,0,0,0,0,1500000.0
23bfbc61-e841-4fb4-abbe-d9be9b289dc4,159581.0,159581.0,11.980313175682594,1,2.0,0,1,0,0,0,0,0,0,0,159581.0
205befb0-3dc2-4da0-b6bd-3d5140492f47,453327.67,453327.67,13.02437268222651,0,,1,0,0,0,0,0,0,0,0,453327.67
9a00f68e-94eb-45f3-9fc0-1c028c61937d,243000.0,243000.0,12.400820837540556,1,1.0,0,1,0,0,0,0,0,0,0,243000.0
b4826962-740d-4455-96eb-ea77aa565573,1720927.75,1720927.75,14.358374673988024,0,,0,0,1,0,0,0,0,0,0,1720927.75
684a81ae-5049-4a39-915e-6c2e9aa4ce5c,43954.74,43954.74,10.690938497543407,0,,0,1,0,0,0,0,0,0,0,43954.74
