notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_can-modif,notice_is_can-social,notice_is_veat,notice_is_pin-only,notice_is_pin-rtl,notice_is_cn-social,total-value
ebbeb2aa-0363-42e5-a0de-ca22bb63d3f1,73681.7,73681.7,11.207523315208919,0,,0,0,0,1,0,0,0,0,73681.7
0d54d6dc-1579-437a-8c97-4d7a29b79817,119478.73625999999,119478.73625999999,11.690902064928881,0,,1,0,0,0,0,0,0,0,3063557.34
1ceff7ee-71bb-40cb-9f17-f1cfbcd4dc8e,193000.0,193000.0,12.170450649220749,1,2.5,0,1,0,0,0,0,0,0,193000.0
4877c1ed-7531-4ecc-b4e7-d15c3ff6030d,33000000.0,23506828.500000007,17.312018149733785,0,,0,1,0,0,0,0,0,0,33000000.0
370328f4-d0c6-4d23-ab57-236e9560eb76,26842.31,26842.31,10.197771906879826,1,2.0,0,1,0,0,0,0,0,0,26842.31
90107d87-be9c-456f-a966-1fb01836f5de,12000000.0,12000000.0,16.300417291085605,0,,1,0,0,0,0,0,0,0,12000000.0
9f13ed28-8632-43b0-96bb-ce2528e4a9ca,0.039,0.039,0.03825871211709034,0,,1,0,0,0,0,0,0,0,1.0
878bdf41-20a3-4db5-a463-3f5448ca4fcb,62620400.0,23506828.500000007,17.952601677546916,0,,0,0,1,0,0,0,0,0,62620400.0
627a2c88-a8ba-4e6e-bf4b-f52193d7903f,0.0,0.0,0.0,0,,1,0,0,0,0,0,0,0,0.0
1f5a2bdf-3821-4b58-9e0a-adec34b6ffa0,4691634.64,4691634.64,15.36129183015618,1,4.0,0,1,0,0,0,0,0,0,4691634.64
ce9a862f-6f81-4a34-954c-af0dd152b5c4,164576.0,164576.0,12.011133824776287,0,,0,1,0,0,0,0,0,0,164576.0
0162b1e5-650b-4837-920b-baf6a7d396fc,1560000.0,1560000.0,14.260197020251155,1,2.5,0,1,0,0,0,0,0,0,40000000.0
f7d57f6c-7a19-44e7-bf21-02c33ac8b514,12300000.0,12300000.0,16.325109901643454,0,,0,1,0,0,0,0,0,0,12300000.0
332d0fb8-4a5c-4b70-83e6-b664e0858acf,281530.0,281530.0,12.547997844832569,1,4.0,0,1,0,0,0,0,0,0,281530.0
66c960e1-b528-485b-b834-419f955eac4f,642358.71,642358.71,13.372903721715085,0,,0,1,0,0,0,0,0,0,642358.71
07ddb512-50c7-4258-82a4-6010f7cf1970,300000.0,300000.0,12.611541086966115,0,,0,1,0,0,0,0,0,0,300000.0
46b2ba02-9cde-4ee6-b09f-c302f9a6960d,20379621.75,20379621.75,16.83004607479263,1,4.0,0,1,0,0,0,0,0,0,20379621.75
82dcafa9-193d-45a1-825b-99f200a2e0c4,94407.46887,94407.46887,11.45538606071559,1,2.5,0,1,0,0,0,0,0,0,2420704.33
2ea424e3-6aab-49ba-8df3-8752b19b1c50,8503534.368,8503534.368,15.955992560634508,0,,1,0,0,0,0,0,0,0,42517671.84
